#Machine :  PC-Vincent
#CPU : Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz
#Date début : 20191001_165123
#Limite de unlimited secondes par test
#
Taille des fichiers source :
   20    63   551 empire.cpp
   76   420  2825 point.cpp
   74   311  2305 polygone.cpp
   96   303  2218 tp1.cpp
   36    92   761 empire.h
   40   160  1181 point.h
   37   135  1037 polygone.h
  197   751  5798 tableau.h
  576  2235 16676 total
#
Carte    	Taille	Args	Superficie	Opt?	CPU	Mém.(k)
carte00.txt	3	1	125	OK	0.00	1424k
carte00.txt	3	2	225	Echec	0.00	1432k
carte00.txt	3	2-100	225	Echec	0.00	1432k
carte00.txt	3	2-50	225	Echec	0.00	1428k
carte00.txt	3	2-10	150	Echec	0.00	1432k
carte00.txt	3	2-1	125	OK	0.00	1428k
carte00.txt	3	3		Echec	0.00	1320k
carte01.txt	3	1	125	OK	0.00	1424k
carte01.txt	3	2	170	Echec	0.00	1428k
carte01.txt	3	2-1	165	Echec	0.00	1432k
carte02.txt	26	1	46010	OK	0.00	1428k
carte02.txt	26	2	64460	Echec	0.01	1440k
carte02.txt	26	2-500	62840	Echec	0.01	1440k
carte02.txt	26	2-10	53553	Echec	0.00	1436k
carte02.txt	26	3		Echec	0.00	1328k
carte02.txt	26	3-100		Echec	0.00	1332k
carte02.txt	26	4-200		Echec	0.00	1328k
carte02.txt	26	5-200		Echec	0.00	1332k
carte03.txt	20	1	6560	OK	0.00	1544k
